text,category,priority,department,sentiment,urgency_score,location_type
"Urgent help needed: No water supply in Sector 12 for 2 days. Please resolve ASAP.","Water Supply","high","Water Board","negative",8,"Urban"
"Complaint regarding Power outage in Gandhi Nagar for over 4 hours. This is causing trouble.","Electricity","medium","Electricity Dept","negative",6,"Urban"
"Large pothole on MG Road making driving difficult.","Roads & Infrastructure","high","Public Works Dept","negative",7,"Urban"
"Road surface is uneven and dangerous at Main Market.","Roads & Infrastructure","medium","Public Works Dept","negative",5,"Urban"
"Garbage pile not cleared for 5 days. Nobody is listening.","Sanitation","medium","Municipal Corp","negative",5,"Urban"
"Bus route 42 is always delayed.","Public Transport","medium","Transport Authority","negative",5,"Urban"
"No doctor available at City Hospital during OP hours. We are suffering.","Healthcare","critical","Health Dept","critical",9,"Rural"
"Teacher absent frequently at Govt High School.","Education","medium","Education Dept","negative",5,"Rural"
"Frequent theft incidents in Sector 12. Please look into this: ","Law & Order","high","Police Dept","negative",7,"Urban"
"Water coming from tap is muddy.","Water Supply","medium","Water Board","negative",5,"Urban"
"Voltage fluctuation damaging Fridge.","Electricity","high","Electricity Dept","negative",7,"Urban"
"Road construction abandoned for months at main junction.","Roads & Infrastructure","medium","Public Works Dept","negative",5,"Semi-Urban"
"Open drain overflowing onto the road at market entrance.","Sanitation","high","Municipal Corp","negative",7,"Urban"
"Bus driver driving rashly on Ring Road.","Public Transport","high","Transport Authority","negative",7,"Urban"
"Medicines out of stock at government dispensary.","Healthcare","high","Health Dept","negative",7,"Rural"
"Mid-day meal quality is very poor.","Education","high","Education Dept","negative",7,"Rural"
"Police patrol required at night.","Law & Order","medium","Police Dept","neutral",5,"Urban"
"Pipeline burst at bus stand, immense water wastage. Urgent help needed: ","Water Supply","critical","Water Board","critical",9,"Urban"
"Transformer exploded at main junction. This is dangerous.","Electricity","critical","Electricity Dept","critical",10,"Urban"
"Footpath encroached by hawkers.","Roads & Infrastructure","low","Public Works Dept","neutral",3,"Urban"
"Street lights not working on Park Avenue.","Electricity","medium","Electricity Dept","negative",5,"Urban"
"Live wire hanging dangerously at school gate.","Electricity","critical","Electricity Dept","critical",10,"Urban"
"Manhole cover is open and dangerous on Station Road.","Roads & Infrastructure","high","Public Works Dept","critical",8,"Urban"
"Small pothole near my house.","Roads & Infrastructure","medium","Public Works Dept","neutral",4,"Urban"
"Dead animal lying on road for 2 days.","Sanitation","high","Municipal Corp","negative",7,"Urban"
"Mosquito breeding in stagnant water near park.","Sanitation","high","Municipal Corp","negative",7,"Urban"
"Dustbins are missing in Block C.","Sanitation","low","Municipal Corp","neutral",3,"Urban"
"Suspicious activity observed near bank.","Law & Order","medium","Police Dept","negative",6,"Urban"
"Chain snatching reported at market entrance.","Law & Order","high","Police Dept","negative",8,"Urban"
"Loud noise disturbance at night in Sector 12.","Law & Order","low","Police Dept","negative",4,"Urban"
"Traffic violation rampant on Main Highway.","Law & Order","medium","Police Dept","negative",5,"Urban"
"Sewage water mixing with drinking water supply.","Water Supply","critical","Water Board","critical",9,"Urban"
"Borewell needs repair in Model Town.","Water Supply","medium","Water Board","neutral",5,"Urban"
"Water pressure is extremely low.","Water Supply","medium","Water Board","negative",4,"Urban"
"Street sign damaged or missing at old city.","Roads & Infrastructure","low","Public Works Dept","neutral",3,"Semi-Urban"
"Illegal speed breaker constructed on Link Road.","Roads & Infrastructure","medium","Public Works Dept","negative",5,"Semi-Urban"
"Bridge showing cracks near river bridge.","Roads & Infrastructure","high","Public Works Dept","negative",8,"Rural"
"Smart meter installation pending.","Electricity","low","Electricity Dept","neutral",3,"Urban"
"Electricity bill is too high.","Electricity","low","Electricity Dept","negative",3,"Urban"
"Fire broke out in the dumping yard!","Sanitation","critical","Municipal Corp","critical",10,"Urban"
"Building collapsed near old market!","Roads & Infrastructure","critical","Public Works Dept","critical",10,"Urban"
"Major accident on the highway, need ambulance!","Law & Order","critical","Police Dept","critical",10,"Urban"
"Requesting new water connection for Apartment Complex.","Water Supply","low","Water Board","neutral",2,"Urban"
"I want to report a broken bench in the park.","Roads & Infrastructure","low","Public Works Dept","neutral",2,"Urban"
"Stray dogs causing menace in the street.","Sanitation","medium","Municipal Corp","negative",5,"Urban"
"Street light flickering.","Electricity","low","Electricity Dept","neutral",3,"Urban"
"Drainage clogged, water entering houses.","Sanitation","high","Municipal Corp","negative",8,"Urban"
"Huge crater on the road, very dangerous.","Roads & Infrastructure","high","Public Works Dept","negative",8,"Urban"
"Electric pole leaning dangerously.","Electricity","high","Electricity Dept","negative",7,"Urban"
"Water tanker did not arrive.","Water Supply","medium","Water Board","negative",6,"Urban"
"School building roof is leaking during rain.","Education","high","Education Dept","negative",7,"Rural"
"No books available for students in class 10.","Education","high","Education Dept","negative",7,"Rural"
"Playground in government school is unsafe for kids.","Education","medium","Education Dept","negative",6,"Urban"
"Teacher asking for bribes for admission.","Education","critical","Education Dept","critical",9,"Urban"
"Drinking water in school is contaminated.","Education","critical","Education Dept","critical",9,"Rural"
"Computer lab computers are not working.","Education","low","Education Dept","neutral",3,"Urban"
"Scholarship money not received for 6 months.","Education","high","Education Dept","negative",7,"Rural"
"Toilet in school is non-functional and unhygienic.","Education","high","Education Dept","negative",8,"Rural"
"Illegal liquor shop operating near school.","Law & Order","high","Police Dept","negative",8,"Urban"
"Group of people gambling in the park daily.","Law & Order","medium","Police Dept","negative",5,"Urban"
"Woman harassed at bus stop, need immediate help.","Law & Order","critical","Police Dept","critical",10,"Urban"
"Drug peddling activity suspected in back alley.","Law & Order","critical","Police Dept","critical",9,"Urban"
"Car parked illegally blocking my gate.","Law & Order","low","Police Dept","negative",3,"Urban"
"ATM machine tampered with at market.","Law & Order","high","Police Dept","negative",7,"Urban"
"CCTV camera not working at main junction.","Law & Order","medium","Police Dept","neutral",5,"Urban"
"Fight broke out between two groups in street.","Law & Order","high","Police Dept","negative",8,"Urban"
"X-ray machine broken at district hospital.","Healthcare","high","Health Dept","negative",7,"Urban"
"Ambulance arrived 2 hours late.","Healthcare","critical","Health Dept","critical",9,"Rural"
"Sanitary inspector not visiting the ward.","Healthcare","medium","Health Dept","negative",5,"Urban"
"Vaccines not available for infants.","Healthcare","critical","Health Dept","critical",9,"Rural"
"Hospital staff behavior is very rude.","Healthcare","medium","Health Dept","negative",5,"Urban"
"Bed sheets are dirty in general ward.","Healthcare","medium","Health Dept","negative",6,"Urban"
"Overcharging for medicines at pharmacy.","Healthcare","high","Health Dept","negative",7,"Urban"
"Bus fare charged higher than ticket price.","Public Transport","medium","Transport Authority","negative",4,"Urban"
"Bus stop shelter is broken and leaking.","Public Transport","medium","Transport Authority","neutral",5,"Urban"
"Frequency of buses is very low on Route 5.","Public Transport","medium","Transport Authority","negative",5,"Urban"
"Driver smoking while driving the bus.","Public Transport","high","Transport Authority","negative",7,"Urban"
"Conductor not issuing tickets to passengers.","Public Transport","medium","Transport Authority","negative",5,"Urban"
"Ladies seat occupied by men in bus.","Public Transport","medium","Transport Authority","negative",5,"Urban"
