ComplaintID,ComplaintText,Category,UrgencyLevel,Sentiment,Authority
1,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Public Works
2,This is a complaint about Electricity issue.,Electricity,High,Negative,Water Department
3,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Water Department
4,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Waste Management Division
5,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Electricity Board
6,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Electricity Board
7,This is a complaint about Waste Management issue.,Electricity,Low,Positive,Public Works
8,This is a complaint about Waste Management issue.,Electricity,High,Positive,Waste Management Division
9,This is a complaint about Road Damage issue.,Water Supply,Low,Positive,Waste Management Division
10,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Waste Management Division
11,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Waste Management Division
12,This is a complaint about Waste Management issue.,Road Damage,Low,Neutral,Electricity Board
13,This is a complaint about Road Damage issue.,Road Damage,Medium,Positive,Water Department
14,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Electricity Board
15,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Waste Management Division
16,This is a complaint about Water Supply issue.,Water Supply,High,Neutral,Electricity Board
17,This is a complaint about Road Damage issue.,Electricity,Medium,Negative,Water Department
18,This is a complaint about Electricity issue.,Road Damage,High,Neutral,Waste Management Division
19,This is a complaint about Water Supply issue.,Road Damage,Low,Positive,Waste Management Division
20,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Electricity Board
21,This is a complaint about Water Supply issue.,Waste Management,Medium,Positive,Public Works
22,This is a complaint about Electricity issue.,Road Damage,Medium,Neutral,Water Department
23,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Public Works
24,This is a complaint about Water Supply issue.,Waste Management,Low,Negative,Waste Management Division
25,This is a complaint about Water Supply issue.,Water Supply,Low,Neutral,Water Department
26,This is a complaint about Waste Management issue.,Road Damage,Medium,Negative,Water Department
27,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Water Department
28,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Electricity Board
29,This is a complaint about Electricity issue.,Electricity,Low,Negative,Waste Management Division
30,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Electricity Board
31,This is a complaint about Waste Management issue.,Road Damage,Low,Neutral,Water Department
32,This is a complaint about Electricity issue.,Waste Management,High,Positive,Waste Management Division
33,This is a complaint about Electricity issue.,Water Supply,High,Negative,Waste Management Division
34,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Public Works
35,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Waste Management Division
36,This is a complaint about Waste Management issue.,Electricity,Medium,Negative,Water Department
37,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Water Department
38,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Water Department
39,This is a complaint about Road Damage issue.,Water Supply,High,Negative,Electricity Board
40,This is a complaint about Electricity issue.,Water Supply,High,Negative,Electricity Board
41,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Water Department
42,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Electricity Board
43,This is a complaint about Water Supply issue.,Water Supply,Low,Positive,Waste Management Division
44,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Water Department
45,This is a complaint about Water Supply issue.,Water Supply,Low,Neutral,Waste Management Division
46,This is a complaint about Road Damage issue.,Road Damage,Medium,Positive,Water Department
47,This is a complaint about Road Damage issue.,Waste Management,High,Neutral,Electricity Board
48,This is a complaint about Water Supply issue.,Water Supply,Low,Neutral,Electricity Board
49,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Public Works
50,This is a complaint about Road Damage issue.,Road Damage,Medium,Negative,Electricity Board
51,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Electricity Board
52,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Electricity Board
53,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Public Works
54,This is a complaint about Waste Management issue.,Electricity,High,Positive,Electricity Board
55,This is a complaint about Road Damage issue.,Electricity,High,Positive,Public Works
56,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Public Works
57,This is a complaint about Road Damage issue.,Road Damage,High,Negative,Public Works
58,This is a complaint about Road Damage issue.,Waste Management,Low,Negative,Electricity Board
59,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Water Department
60,This is a complaint about Water Supply issue.,Electricity,High,Positive,Public Works
61,This is a complaint about Waste Management issue.,Waste Management,Medium,Positive,Water Department
62,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Electricity Board
63,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Waste Management Division
64,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Water Department
65,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Electricity Board
66,This is a complaint about Road Damage issue.,Electricity,High,Negative,Waste Management Division
67,This is a complaint about Electricity issue.,Electricity,High,Neutral,Waste Management Division
68,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Public Works
69,This is a complaint about Waste Management issue.,Road Damage,Low,Positive,Public Works
70,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Public Works
71,This is a complaint about Water Supply issue.,Road Damage,Medium,Positive,Water Department
72,This is a complaint about Water Supply issue.,Waste Management,High,Positive,Electricity Board
73,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Public Works
74,This is a complaint about Road Damage issue.,Electricity,High,Negative,Public Works
75,This is a complaint about Road Damage issue.,Electricity,High,Positive,Water Department
76,This is a complaint about Road Damage issue.,Water Supply,Low,Positive,Water Department
77,This is a complaint about Water Supply issue.,Waste Management,Low,Positive,Public Works
78,This is a complaint about Electricity issue.,Water Supply,High,Negative,Waste Management Division
